tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,label,prob_planet,rank
407966340,554.01,CP,2458442.61543,7.0491608,3.5024531,300.5227138,2.8464941,1.42717,6337.87,4.438,6.4386,1,0.9541457247095273,38
142276270,1136.01,CP,2459612.447691,12.5187279,5.38,2320.0,5.58857,0.98,5729.0,4.47,8.9361,1,0.9535960889968619,39
306263608,1471.01,CP,2460221.503439,20.7724316,5.508,1415.0,3.91576,0.97,5625.56,4.46798,8.5725,1,0.9534913061667666,40
71431780,1723.01,CP,2460307.768558,13.7270395,4.007,901.0,2.95921,1.09,5777.0,4.38035,9.09942,1,0.9526585987341737,41
150151262,712.01,CP,2460139.317299,9.531366,1.673,916.0,2.24794,0.72,4504.0,4.58833,9.9059,1,0.9524476282936797,42
396562848,1640.01,CP,2459767.373106,1.9495403,0.8060618,2089.2444115,1.3929217,0.260187,3414.0,4.97292,11.0548,1,0.9515562226575368,43
407591297,5388.01,CP,2459630.895748,2.594675,0.313,1070.0,1.89426,0.31,3495.0,4.91164,10.5737,1,0.9514965880308084,44
75878355,2134.02,CP,2460485.79438,95.8531625,5.024,5975.0,5.95763,0.77,4406.0,4.50428,7.7945,1,0.9511673033420035,45
440887364,836.01,CP,2459356.164023,8.5954792,2.47,1140.0,2.64032,0.69,4476.0,4.58156,8.6486,1,0.9497500924207629,46
262746281,603.01,CP,2460271.218286,16.1798603,6.495,2249.0,7.89958,1.63,5900.8,4.04,9.74179,1,0.9496894269923615,47
318753380,2443.01,CP,2459148.098617,15.6692322,4.562853,1393.3814802,2.6868893,0.732115,4214.44,4.52845,8.2969,1,0.9495660147278524,48
200322593,540.01,CP,2459175.141647,1.2391534,0.4887749,2318.6594409,0.9654706,0.197117,3042.0,4.438,11.5045,1,0.949496401917846,49
460984940,784.01,CP,2460038.66554,2.7970316,2.185,481.0,1.84303,0.9,5849.0,4.5297,8.7537,1,0.9478316782066213,50
243185500,1468.01,CP,2459450.356025,15.5324385,1.7640717,2937.4953214,2.013576,0.369306,3382.0,4.85532,10.8858,1,0.9475237006273747,51
453211454,509.01,CP,2460269.974997,9.0588209,3.342,875.0,2.67607,0.96,5560.26,4.438,7.9259,1,0.9468873615386676,52
307210830,175.03,CP,2458354.907237,2.2531062,0.9939837,682.3972723,0.826635,0.31416,3469.0,4.9401,9.41242,1,0.9463982264792733,53
178155732,396.02,CP,2459169.27128,3.58529,2.495,180.0,1.77141,1.28,6308.31,4.438,5.9053,1,0.9463863331887908,54
299798795,1224.02,CP,2458329.862603,17.9453645,3.0740072,5480.684864,3.3839124,0.404403,3442.0,4.893,11.556,1,0.9457267853168078,55
307210830,175.02,CP,2460039.154503,7.4507305,0.475,1542.0,3.04528,0.31,3469.0,4.9401,9.41242,1,0.94559883636575,56
437011608,5082.01,CP,2460284.802643,4.2403543,2.353,842.0,2.64301,0.93,5670.0,4.5,7.6253,1,0.945295950187964,57
305048087,237.01,CP,2458355.241753,5.4361667,1.5419673,4797.1288482,1.7175409,0.211299,3139.0,5.04944,13.4102,1,0.9449097768355044,58
279741379,186.01,CP,2460202.210988,35.6134391,3.512,1575.0,3.12194,0.71,4628.53,4.32239,6.9934,1,0.9437516295757606,59
439456714,277.01,CP,2458385.036312,3.9934418,1.9693065,5801.8957159,4.2556645,0.523113,3748.0,4.7573,11.7315,1,0.9426595851424412,60
155867025,3714.01,CP,2459911.46982,2.1547472,1.6582238,49552.1823437,11.6102486,0.50843,3538.0,4.73,13.1751,1,0.9425924333721987,61
201175570,7041.01,CP,2460160.362835,9.6994666,15.7960068,512.9617961,9.5295926,4.2105899,4696.0,4.438,10.264,1,0.9425214834422941,62
106402532,733.01,CP,2460030.757093,4.8847937,2.51,478.0,1.94753,0.94,5969.0,4.5172,8.8411,1,0.9423918580066797,63
178819686,763.01,CP,2460046.424157,5.6057748,3.0213897,701.1882316,2.4097088,0.906761,5767.0,4.34736,9.5275,1,0.9419031240564606,64
298663873,2180.01,CP,2459611.445537,260.1740061,24.0527095,4747.959592,11.3192423,1.62762,5739.0,4.03,8.56854,1,0.9405701038224583,65
27491137,2076.02,CP,2459675.93251,35.1257472,2.839,2066.0,3.17021,0.77,5149.6,4.6,8.3745,1,0.9402607210369572,66
178155732,396.01,CP,2459120.537697,5.9739124,3.1235464,232.5621027,2.3917735,1.2845,6308.31,4.438,5.9053,1,0.9401252211763742,67
70899085,442.01,CP,2459196.115341,4.0520368,1.5605128,5512.4033193,4.9523134,0.607751,3779.0,4.64,10.7329,1,0.9396552279512409,68
150428135,700.02,CP,2458330.486155,37.4236838,3.3650101,737.5519387,1.3296571,0.419457,3482.0,4.438,10.9102,1,0.9395789567823892,69
306648160,3321.01,CP,2458681.48892,3.6525305,4.153,9770.0,14.7302,1.47,5930.0,4.14,10.6651,1,0.9394312459738563,70
77156829,696.02,CP,2458411.067517,3.6942604,1.1278521,832.8225921,1.0428407,0.33819,3450.0,4.89044,10.4276,1,0.9387829247094756,71
118327550,244.01,CP,2458357.364688,7.397216,1.3164962,953.5477499,1.2711131,0.407103,3342.0,4.438,10.3475,1,0.9386671168564007,72
94986319,421.01,CP,2459195.308114,16.067522,2.6182382,2929.6501469,4.7909617,0.860124,5718.0,4.35658,9.2711,1,0.9386033467302495,73
77156829,696.01,CP,2458411.473627,0.8602406,0.5124345,719.5357708,0.9718795,0.33819,3450.0,4.89044,10.4276,1,0.9378053914248493,74
447061717,1231.01,CP,2458563.890468,24.2454967,3.3725583,6260.6703602,3.878568,0.465271,3535.0,4.84874,10.2565,1,0.9377956249214212,75
8967242,1799.01,CP,2458904.815773,7.093853,2.5107626,284.2381135,1.6277147,0.956941,5690.0,4.48062,8.3662,1,0.9377182401671712,76
335630746,778.01,CP,2459574.942709,4.6336155,3.557,7660.0,15.2453,1.68,6780.0,4.08247,8.69009,1,0.9371409558228309,77
207468071,1836.01,CP,2458933.167227,20.3807824,6.6590149,2371.5221505,8.2227994,1.61988,6351.0,4.12,9.29416,1,0.9369682837741133,78
101011575,560.02,CP,2459987.337647,18.8792871,3.262,1199.0,1.99787,0.63,4695.0,4.5,8.5925,1,0.9368618654844268,79
151825527,672.01,CP,2458546.478904,3.6335834,1.8069693,8668.4420489,5.1614854,0.544068,3765.0,4.75169,11.6739,1,0.9364520708724667,80
75878355,2134.01,CP,2460496.590963,9.2292078,2.817,1606.0,3.21883,0.77,4406.0,4.50428,7.7945,1,0.9355321104077785,81
4646810,461.01,CP,2458416.351956,10.9245478,1.8716477,653.537141,1.9015018,0.74413,4884.0,4.49,8.8723,1,0.935005650594738,82
320004517,1055.01,CP,2458661.062711,17.4713078,4.4284819,1199.7541483,3.5766828,0.974669,5783.54,4.49925,8.0888,1,0.9348614871074065,83
34068865,731.01,CP,2460013.7131,0.3219233,0.199,204.0,2.66076,0.46,3518.0,4.82492,8.031941,1,0.9345944495522667,84
