tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
11411639,K07445.01,PC,2454967.558,6.933574,2.43,276.7,1.3,0.793,5510.0,4.584,15.804,0.8238475607868441,386
5642620,K02882.01,PC,2454998.5543,75.8580035,5.382,1148.4,2.72,0.614,4474.0,4.67,15.398,0.823136466516209,387
7813039,K03787.01,PC,2455000.345982,141.73403059,1.5851,7736.4,10.3,0.918,5606.0,4.478,13.891,0.8230580763809612,388
9491832,K04226.01,PC,2455003.6973,49.564693,8.54,113.5,1.63,1.442,5907.0,4.212,12.83,0.8222050906296117,389
9283156,K02657.01,PC,2454965.85379,5.22402436,2.608,48.1,0.58,0.84,5487.0,4.512,12.869,0.8212800686973285,390
10163067,K07291.01,PC,2454964.8232,25.9136674,10.498,109.7,3.37,2.346,6167.0,3.804,12.556,0.8208778209159039,391
6436505,K06707.01,PC,2454988.20055,43.535891,4.712,576.6,1.86,0.778,5481.0,4.592,15.857,0.8208492415681037,392
7499398,K01473.01,PC,2455190.786124,23.02028478,3.544,5077.8,7.58,0.956,5613.0,4.496,15.573,0.8181181418067158,393
7619236,K00682.01,PC,2455018.968547,562.1725914,9.8841,5877.8,10.9,1.289,5589.0,4.229,13.916,0.8177970764604302,394
10450504,K07327.01,PC,2454974.92539,17.9908273,1.436,660.0,1.88,0.752,4918.0,4.546,15.864,0.8154864070188428,395
4830605,K01660.01,PC,2454997.17496,35.6364022,4.888,452.6,1.99,0.887,5926.0,4.532,15.614,0.8152782153550701,396
11129738,K01427.02,PC,2454968.24744,4.88446644,2.057,221.0,0.84,0.517,3883.0,4.725,15.84,0.814898757379682,397
8827575,K03052.01,PC,2454968.99804,10.12956201,3.044,81.3,0.78,0.842,5383.0,4.528,13.573,0.8142861809071462,398
10221505,K04768.01,PC,2454965.42697,3.43633133,0.675,473.5,1.44,0.651,5201.0,4.616,15.71,0.8141051451441714,399
9221528,K03355.01,PC,2454977.7982,16.2953228,4.882,229.1,1.6,1.013,6187.0,4.432,15.11,0.8140375099448283,400
5384713,K03444.04,PC,2454974.47344,14.1502311,1.503,208.1,0.74,0.529,3705.0,4.721,13.693,0.8135510542589421,401
8684730,K00319.01,PC,2455009.626026,46.15119482,6.3427,1817.3,10.02,1.963,5877.0,3.927,12.711,0.8128189162577633,402
7902204,K06931.01,PC,2454966.77849,2.54031121,1.83,173.3,1.2,0.911,5778.0,4.531,15.921,0.8101242089281097,403
11198419,K05879.01,PC,2455022.2756,88.523517,7.22,828.0,1.6,0.462,3827.0,4.782,15.841,0.8098764300073998,404
4548011,K04288.04,PC,2454977.287,13.9509565,5.231,35.7,0.75,1.227,5888.0,4.275,12.4,0.8081973437681162,405
